sample_order,dataset_id,series_id,series_type,source_order,selection_rank_within_type,selection_digest,length,missing_count,nonfinite_count,zero_count,negative_count,iqr,standard_deviation,mean_squared_first_difference
21,weather_daily,T141,rain,141,9,048743b2a4c12b46835efa6b66004a1400058ced199d688a6c5c1aad8d509348,13021,0,0,6477,0,1.6,4.850189024677567,38.22823043377818
22,weather_daily,T147,rain,147,73,19ec93f2a10d398332ffbd9c0b45f4b6d754d18582f71e7e1bec0304630da8d1,4620,0,0,2506,0,1.66405561993048,4.575658707024734,33.990652713570704
23,weather_daily,T150,rain,150,114,24fac55a2cd8b3999d77505026b1dbcaf310e3200d6b8a449f6b627ba89aec54,6811,0,0,4821,0,0.2,6.502059702594937,70.38180630057742
24,weather_daily,T151,rain,151,55,157c9e811dfff74f627953609232fe44747630229267b0c5d4f0e3bf51415fe3,50275,0,0,38356,0,0.0,6.270399483989896,63.96532508535349
25,weather_daily,T152,rain,152,106,231b20fcac64baf01f32c2db773751d76347e29f9c94a9a27ed124b3da15a2c6,9368,0,0,4439,0,1.90157257608327,5.041465636330012,39.15665026826204
26,weather_daily,T166,rain,166,6,03ed6a1559665d8678cc4493c191a143399260b8e90815b81cab51458bc067ef,25439,0,0,13871,0,1.95740099319785,4.943908078601364,40.65882251110488
27,weather_daily,T173,rain,173,119,264f5657997ed835e1d919a1a143471be6e7c9deade1a3827f8983ba79d6e571,19595,0,0,12670,0,0.8,4.73924194424621,36.55725082032671
28,weather_daily,T186,rain,186,102,2228be52878c2ffe1fc372ac3ec35c322f50323298f64b8f046a2e3959c243d6,21787,0,0,10882,0,4.0,14.797841560609456,271.33276957620944
29,weather_daily,T187,rain,187,111,24a02f6db560d39ec6ff4620bddd2d5c646b963712d2782444f61e526c4a3b95,22517,0,0,15466,0,0.6,6.057705145826538,58.99425749684587
30,weather_daily,T198,rain,198,104,2286c2fb51e705dcf3d79532e45b4aa3ae5ba5b48153e40c3628b8c0d1d69469,6811,0,0,5023,0,0.2,5.832657644991409,56.15610761933786
31,weather_daily,T213,rain,213,68,18631100b150abba182cccfec4213da980d44db8a37306caf793cf00cfc01085,5716,0,0,3984,0,0.2,3.2699538781116164,17.56312225702891
32,weather_daily,T224,rain,224,33,0cf4d2aa5c859396cd24ae4d76d74c1eb69fd0bbce2bc202da0476b4edcadcc2,8272,0,0,4715,0,3.6,16.165440210827192,295.50269550154
33,weather_daily,T231,rain,231,57,15f632a79daedb6615e0f5d893aaeb642d6a0d44d5a58ce8ef2ee9e07ff41c9e,7907,0,0,6053,0,0.0,4.605881326628079,37.2689533978111
34,weather_daily,T233,rain,233,88,1f0027d7f003b3fba88569863f8de46d5f3e818e594592324d7e86b05e7c37e8,8272,0,0,6761,0,0.0,5.111733813798497,43.49271846669267
35,weather_daily,T244,rain,244,15,0735e1f3df42625a1944491b06c352efc999d9f575db7978ae3de0e4f41394c3,13386,0,0,6457,0,1.71227661227661,4.1695813528393515,28.47554969181791
36,weather_daily,T249,rain,249,62,16de99d1f4d415d0d0f17e3f9e3d4299ced8431b1dd92d3b81424956436d3c9a,26535,0,0,8470,0,2.75148122229998,5.207336406876288,44.624714297599446
37,weather_daily,T253,rain,253,26,098c0ad790da8043ad19778d6dbd2845390aa2606103faa5472ad68cbb28261f,19593,0,0,10380,0,2.81827473198911,7.021811675668384,84.79623951637807
38,weather_daily,T255,rain,255,94,2044c319344fd2f09b8a4c701626d1272fc9f0621a40cd336400479f85891d46,8638,0,0,3567,0,2.50685346918971,4.979072931631736,38.9109691941363
39,weather_daily,T257,rain,257,22,084f5847a2da903c4adccef6e995f33d5c0f174cac1b9c8ee7459668b2e397be,48084,0,0,29649,0,1.67945938529089,5.371324742600494,43.66434131978034
40,weather_daily,T265,rain,265,1,000e8f9315596ab43424baa73afd1e87b92f550003d6ba1db3f9a129fa8c63c3,5350,0,0,3017,0,0.8,3.815595343571359,23.32341102675473
41,weather_daily,T278,rain,278,39,104d59bb6ae7a5980a44f9a7e53f451de9df3f3bbd6c8e1b416c9eace1dee06d,13751,0,0,5704,0,2.29630912037719,4.938763582489463,38.64443804193463
42,weather_daily,T280,rain,280,116,255f7b22a2451572840562ecdf546056e2c3b997f840f7abc3985ae030d001c0,7177,0,0,3095,0,2.7393667224844,6.4210103844916135,63.74519471244319
43,weather_daily,T283,rain,283,40,10a065de161667df6577c03c45b2388f3debdb7cc29138da6e6676885e89d202,49545,0,0,43337,0,0.0,4.37481836921174,31.26171380513293
44,weather_daily,T294,rain,294,48,13405179fa73a4f6ee7f5c961aba9f7290671e3b542198e395880249381a3aff,28361,0,0,13480,0,1.8,4.424008327002356,30.24263507848248
45,weather_daily,T295,rain,295,25,098bdf621ac9bc7090b2a6e58b607a42201bd4453f48366ab5446cbd5e3c37db,9003,0,0,5469,0,1.6,9.658158638597738,130.84379848355556
46,weather_daily,T300,rain,300,11,058c8eee458d6fff1eceae7edfe2b0ba288735be0fb20341afc1935c6bc956a6,8272,0,0,6539,0,0.0,5.838065201418988,53.84716414437017
47,weather_daily,T304,rain,304,12,059cc2d2b092201fc95071d8252456c8de21f45fe6abcc7399e0fd2f33e56a38,28726,0,0,8392,0,4.8,7.18950405017535,64.43230347984671
48,weather_daily,T305,rain,305,70,192311ee60a964e5e6f34623ad5a02db8f3a6aa7943b83bc4de9315dd03f0feb,8638,0,0,4426,0,1.0,3.4160846758139973,18.84491598988539
49,weather_daily,T310,rain,310,93,203d7893b8465155445bfbd1d29654f1f1b46689f74731c07227bc7a13657c54,14116,0,0,3843,0,4.6,6.3874188387324935,63.91892692836086
50,weather_daily,T325,rain,325,96,20e1d8d2ab69b758f2a9b5fd807da9d85930c1a950687aad58a5724152959db1,6081,0,0,3182,0,1.69721553798556,4.049480891768693,26.254404411530786
51,weather_daily,T326,rain,326,32,0ce3ececd823a72940692f8fea65114ed1d322a1e86a8530aa373af97965fe3c,17404,0,0,10198,0,2.2,14.649591204444029,276.6574760574383
52,weather_daily,T327,rain,327,87,1e5d44229d3ce5103efcfd5ba2db21abd3d7a298587a64ffe3de4f84e5f31302,51371,0,0,42944,0,0.0,4.988210814409568,37.76878354687032
53,weather_daily,T329,rain,329,21,07f1d3a3552cda9fc124e5316ca8700c9eb233d442d3ce8bdbd61e2bc931ccab,58311,0,0,32729,0,1.74872210953347,4.190946954150076,27.25815896861509
54,weather_daily,T334,rain,334,66,17bae6bb272e79a9cea437c44fb6dc6a83bc5ff1900e3400c2876fdd381f9ae2,5716,0,0,1581,0,5.25,8.230190950774746,88.35670721008249
55,weather_daily,T341,rain,341,109,23e8537673092e286950242a5a8a98035a2412268b2f7d6aed19fdc192670590,49179,0,0,35072,0,0.4,3.3272163775248664,18.58721558882459
56,weather_daily,T353,rain,353,108,23a5cb8db1d7c2e7ff59a1e84831f3ba92cf909aa5793c3373d45e0ed669e7bc,10099,0,0,6225,0,1.4,10.405745173551075,157.95829296074234
57,weather_daily,T354,rain,354,52,145270dc785ccafe428aa65a67d42a18a943ea81b782b67ea77af1215933a729,51006,0,0,18588,0,2.5420782624145,4.70915751036641,34.08063275792474
58,weather_daily,T362,rain,362,110,242629de879c118c684798fb50c6cca318ba0b1e272f246c437954736d4acdbe,54658,0,0,30495,0,2.10396627551124,5.185382841238832,38.48894873075738
59,weather_daily,T371,rain,371,54,1579776d3e92c00bb235fd6cf30d014fd240569bc239420c8bca1ae19d8975c4,6811,0,0,4045,0,1.2,3.929141220629619,24.00536195890108
60,weather_daily,T373,rain,373,59,16390365aa979ffc0eb7a5626e46ee8fc9f853bf710a57fff9265d5656ea4846,15577,0,0,10301,0,0.8,4.152675784519332,27.470878339771406
61,weather_daily,T374,rain,374,63,16e2547068fa8431f01b48c0caaff52d322cfc053f13f364be98c1e03f32d24a,8272,0,0,5302,0,0.8,3.4572944242574124,19.44641434572725
62,weather_daily,T382,rain,382,28,0c693f298912ed50d8585fd9ce854952b792992324e01a0f105a890b7a4f7c1b,23613,0,0,15907,0,0.6,3.5512768583425625,20.684532777475894
63,weather_daily,T386,rain,386,75,1a57a47f4add020e00106ccc58ac742b33c6bb5a516d8af1a16df3a62779de57,49179,0,0,40207,0,0.0,6.474578752984962,64.14527961457205
64,weather_daily,T402,rain,402,5,028267921de7ad67e8c29ced9505aa20f70d90c0b7492cbd9778c898a701cbb8,8638,0,0,4790,0,2.4,14.0836870366619,273.02092661772394
65,weather_daily,T404,rain,404,29,0c7ace94072fa348d0148ea2fa5945db396f18449c0e5f056a7ad197ab6bf8c7,9733,0,0,5464,0,1.0,3.685277919240944,22.67420474759513
66,weather_daily,T407,rain,407,85,1ddc26a1fcd2d1b39eb0c3c72ed23b94108a3aacf7a738ad9b191132846ea6d4,5350,0,0,3593,0,0.4,3.2829247092127707,17.719267838120736
67,weather_daily,T412,rain,412,8,047f2a8a43769f96d5f390c3e850ac9eddf564052f7c76ee9f0355829cd5cecb,53562,0,0,40088,0,0.2,6.9766754594174945,77.98161160791265
68,weather_daily,T418,rain,418,45,1215e83f65a86e41c87e54da17d530367601d46c07f570a42275ecd16435ead1,46988,0,0,27363,0,2.5,11.441299593048493,189.60485170505927
69,weather_daily,T419,rain,419,99,21813a5484db6987c43dc00542cf80db7a0d647f403a49f4a36da98e7fb6b03a,8638,0,0,5078,0,1.0,3.44397875440642,19.091894076751455
70,weather_daily,T422,rain,422,44,11d3dd0beff4b237fc30878ca9cec0d34113ca455cdf227437b35d1b6b62ee88,51736,0,0,32360,0,2.0,10.68547777268786,162.25020021357562
71,weather_daily,T436,rain,436,83,1dbcf33e743131c3144538b30bd2ceb83439bb43187f2f6e575658bfce6809fe,7907,0,0,6565,0,0.0,2.709026549594902,12.113120658678191
72,weather_daily,T439,rain,439,103,226a44a203f08cad6d076c45ceb733ebbd0ecb158da955d65e642ab81e61d158,25804,0,0,22021,0,0.0,2.822783812185184,13.277904157847615
73,weather_daily,T442,rain,442,67,17f780c7da426e9d2bac9f0a900df806d663f398297168b3ab0052184cd1e9da,50640,0,0,15109,0,0.656207167733962,1.8291450747121476,5.406277350964836
74,weather_daily,T448,rain,448,7,043cdf951b5810b38739661576be1cf44095cd56a093e599b137355ebbaab259,32744,0,0,24044,0,0.2,2.9275002670639596,13.6629506020681
75,weather_daily,T451,rain,451,23,089bde7cfd86343fbbd7663ece47193b262d37ead94d1bf29347a5e8117a77e3,7542,0,0,5102,0,0.2,2.6259662963050614,11.311557423715078
76,weather_daily,T462,rain,462,49,13e7c60526606dffc5eae0492e95727cab46b160179402c1be2468de5c9c9371,3524,0,0,2696,0,0.0,6.977617197019146,78.68318190894
77,weather_daily,T466,rain,466,46,121eb312d2506a7d68de8008fa3a8c568e7fb2a9a96d5987ffcced451faabcb1,51736,0,0,36367,0,0.5,3.3049717619115,16.424830055925362
78,weather_daily,T470,rain,470,115,250067ea786881ec59465a1a35a4f9ed1153354872e9ce56d535ae2ff9727fe7,29457,0,0,21658,0,0.2,2.8839560840753675,13.35831911425939
79,weather_daily,T476,rain,476,50,13e920522dd023b3f61d6f4dfb2200f0568e2097241f51a5c50212f823f12a78,29457,0,0,22939,0,0.0,3.147349138039698,14.455686722782326
80,weather_daily,T478,rain,478,42,1140c3958f4962ad34fdc67caa0540d12341be14c21de212943417d15cfb1627,1333,0,0,701,0,3.52472727272727,10.849673470535446,163.14005079105553
81,weather_daily,T483,rain,483,100,21b187c7f68ec3101b4c00e8f752acfe32b6f466827d22ff8b5093e55a4e7749,6446,0,0,3626,0,2.4,13.634479875543484,227.06155366504888
82,weather_daily,T494,rain,494,10,0491deee70ff30070cbb27061a28e52604a4b7cadaf9688db3c7f770e1fd7791,8272,0,0,5518,0,0.6,11.236137508432174,155.0019621825723
83,weather_daily,T505,rain,505,47,12ff2a3d34c3a6518505fcd6319d5d871d0f5ae4809e03a04442347d56b3fb77,2428,0,0,1856,0,0.0,5.554732501893339,43.61381486513637
84,weather_daily,T510,rain,510,97,211b7b44f980d8266cd46d251d433e856ad6ff8036c0886df334e18d43655ac3,2428,0,0,1822,0,0.0,7.933776603930227,68.98442198654477
85,weather_daily,T513,rain,513,112,24d97365360812c62ff609d97f2f5129f946733b63afd395be6dcf51c8d08ae7,36397,0,0,14337,0,9.41188953757761,24.294166347016244,693.6125820288996
86,weather_daily,T523,rain,523,27,0a632a84fff3afce3d17daa9f716145090c9d271954387abf0712e21cce60dc1,13386,0,0,8898,0,0.798560157790927,3.942000497220724,21.81103713546177
87,weather_daily,T526,rain,526,31,0cb0ec7be3c4482376acf141ab847c478653fc3ec07525a545b0fd821cf1ce96,10829,0,0,9184,0,0.0,4.394807526684642,24.77643843658972
88,weather_daily,T529,rain,529,36,0ec8b6796a24ae7096ee1b9c1a6c9e9c3e74e84b459296d452207dfae97d878b,6811,0,0,5134,0,0.0,9.001288160267245,120.91484570016723
89,weather_daily,T534,rain,534,113,24f64199fcf3f18b2b167e4d91db653c8d3d43d8a960a7f92af433524a5c1928,6811,0,0,5242,0,0.0,10.658601955844947,137.70207674030203
90,weather_daily,T543,rain,543,72,19aac585f5515728c8b6c15438b80185ddd192a725a1cdea8f5e14385e0e91ba,6081,0,0,3277,0,2.2,12.16690751080811,184.57091741538997
91,weather_daily,T544,rain,544,77,1b1c97c6f3d9bbdf5c8ced1285a506214f31fc9f6c5ce4643ad426b8b067bb61,36461,0,0,25556,0,2.6,13.155143446831664,215.86991983037976
92,weather_daily,T546,rain,546,61,16a33f076003790c0514928f1ee0e5e64aba7e47e609e7b2c5ce162c7ef35eb7,18993,0,0,12670,0,2.64889236382591,10.367637010505478,136.35893027155214
93,weather_daily,T547,rain,547,38,10267a75f13a9779969c9c3740ed67791ec922c793f9643145d413fe07046e4e,23248,0,0,20059,0,0.0,4.594236594650816,32.01309798773829
94,weather_daily,T548,rain,548,92,202bf8d9feed444a6f85ece9442941696018b35f23e281a83e20da797d76ac3c,39319,0,0,30340,0,0.0,12.774721371988822,208.57863525085503
95,weather_daily,T566,rain,566,98,214293b857924d72149447d32a87f03e2e20f918fb53bfa191e8948918ab69ad,9368,0,0,7287,0,0.0,4.232245817483467,27.68129680148195
96,weather_daily,T571,rain,571,118,263df21e50fbca88916fa5076cd7797d6b263c653ab9db3c7e010f96918df64d,41145,0,0,28462,0,0.5,3.898220595301591,23.73887009743493
97,weather_daily,T577,rain,577,14,0714678a7e386add8d620f52b1499626241e4f14b5fb7e1bf9e52fb6829cec27,28361,0,0,20904,0,0.5,3.7940685626963786,21.12990834769812
98,weather_daily,T581,rain,581,84,1dca3a38863415cae641ab57834a3d82214423e0cd5f20ae9fe6cba3d4242c80,23978,0,0,17007,0,0.3,3.7068863791716473,23.199850439623862
99,weather_daily,T592,rain,592,20,07b804249a181d21d188931ea6bf71738af15009b45d46e838916dd7fc2b7a05,27394,0,0,22582,0,0.0,7.205196692625477,70.63947772283292
100,weather_daily,T598,rain,598,37,0f091b44bc78c7e667f810f350408e80ab256acc281c290df86efef7265956b1,13979,0,0,10975,0,0.0,9.407795000998492,124.39526788474518
101,weather_daily,T604,rain,604,80,1c07d675191452972158216ff000066374f35f286e945da46191396718159dc8,40049,0,0,30554,0,0.0,3.864738712152559,25.73372395316909
102,weather_daily,T605,rain,605,64,175d5dbd3ed0054e19aef3b60d38a86f3b7c8065d31a48510e2d4b612263d7c0,44431,0,0,29396,0,1.90041268584996,7.070628574280678,73.1554370365768
103,weather_daily,T607,rain,607,56,15a2aa7e21d6f2cac5c0762ee548dde7c24db298e40dbbd6695adee2708fe6cf,44066,0,0,36663,0,0.0,3.8934006690388783,23.20804695973676
104,weather_daily,T608,rain,608,60,168ff97b8f354564e11e67bef8b88ffec283d945428ac73a5d7f3930241833cb,12655,0,0,9972,0,0.0,8.412260942971319,98.75224643330525
105,weather_daily,T612,rain,612,91,1ffa410f5a060672398f324677b2ec9a13c386c165f160cbe005c5d95f5aefad,7542,0,0,4842,0,2.8,12.787890865844082,188.88686415309547
106,weather_daily,T625,rain,625,3,0151d4997ff41a1516b6bb457811f77f1244fad3340b1fbb6ffeddabeb72cd8d,6081,0,0,4044,0,2.2,11.47316432889122,157.31430341383842
107,weather_daily,T628,rain,628,58,162f43c0ce0f82eab01dabc85399e8fb347aa425c9a20c33117de6d58246c7ba,17769,0,0,10658,0,4.42187725631769,11.697263878090968,184.0070915127945
108,weather_daily,T645,rain,645,74,1a2421f7441aa251b16e401771389a41f18b29606771e6ee59db08a9d01ee0b7,28319,0,0,21126,0,0.1,3.609590203595582,21.44982119961544
109,weather_daily,T653,rain,653,95,206e75f75193e15f1bf34fb013e28d0a112af908d4f184f5d3b67827e404c807,18499,0,0,12326,0,1.0,8.76048973474759,119.02476893584792
110,weather_daily,T656,rain,656,120,2676ab5561c7819306fe453d02d237c439198c6bcf2f68b31ad0c66eb2a3f493,37857,0,0,27113,0,1.0,11.205403875755827,159.93071534481058
111,weather_daily,T659,rain,659,101,21c1df7d2f2c7b7800b2348eaacb7a2bf7a2204d1dcff2fac8a5325dddd6e56b,27631,0,0,19019,0,0.8,5.857932300543695,50.867388760022365
112,weather_daily,T662,rain,662,2,00228a6dadf53dfd7c8894b2affa768353f1f8be5c277cdf8899cd297946a152,30187,0,0,16329,0,1.9358626799557,5.001764970146725,40.37998190162755
113,weather_daily,T673,rain,673,51,143a1c93455b6cb31ce8822f337551492a050c1213211616d7fdeca161e33add,8638,0,0,5922,0,0.8,5.323809382532705,44.539969477787416
114,weather_daily,T683,rain,683,105,22eab760411bae0a30ffd2a4ccbcf682c19198739c087c6a08139579f6f4f8e5,2063,0,0,1286,0,4.17463255307567,14.027085112757032,263.70533386891503
115,weather_daily,T684,rain,684,86,1de3607417f5e4165cb629b75f6627199a67ff9ac857828ea5ab6324b154eefb,2794,0,0,1014,0,4.41777485187623,9.92900712872521,135.35075742320703
116,weather_daily,T690,rain,690,18,079e19a763347d18b8ac22272807d6ab7fd55d9cc88f7c749fea7ed02bc1a470,10829,0,0,7091,0,2.32536619390839,8.785278472573214,109.57368398848924
117,weather_daily,T694,rain,694,107,2385278f61ffad1e6ffb3cb7531fe414e3dd1ccc4ce9e840b3f0dfbeefa7f7ff,7907,0,0,5436,0,1.0,11.270962456976214,155.2142485015024
118,weather_daily,T697,rain,697,34,0cff036fb0331e442fc161bf2f4001e94d17c6d356ff4459d014a7e56e5e79f2,20691,0,0,11301,0,5.60893854748603,13.784079113358386,243.9966328254297
119,weather_daily,T707,rain,707,69,190010de2b15b41a54d7c7661d09229e3e676798a6c6ff6ec5d29792d4f17e29,23248,0,0,10328,0,2.27150603894503,8.357329635281582,88.14366708927403
120,weather_daily,T716,rain,716,53,1529b29be4a6de13d53baa0002983a5a3fb0457d7353d19aa731d6fba709890c,7177,0,0,5890,0,0.0,3.935667289230917,27.49221327299754
121,weather_daily,T717,rain,717,79,1b9d5e0d0a0f76d75a62b5af703232325b403a4877994c8fd676bf4fd319bc33,46257,0,0,35906,0,0.0,3.647340665075584,21.948997697131844
122,weather_daily,T732,mintemp,732,46,10a7d4d7b34e65346f9fe6b3dc25000431b2ccc4c5908b16f1582bee68083e5c,5716,0,0,102,1605,7.6,5.152883779851971,10.18338065878306
123,weather_daily,T734,mintemp,734,8,034192844b5dcb250faa9d71e89bb685ed5146a537431b2df43932caaa1fb156,19960,0,0,140,278,8.4,5.395374692415158,7.475897793851357
124,weather_daily,T746,mintemp,746,98,222b74e87f710481794e8e9e140cb78db4978161f6d85f0d6e5dc80e19ce78a0,22882,0,0,405,2781,7.8,5.200145313964729,13.463338118335503
125,weather_daily,T747,mintemp,747,74,19b1776cc33dd885fcdd1da7d02348c2e9f71261796b846154681416fbb98e50,10829,0,0,2,0,5.800000000000001,3.733641130342322,5.429444352252219
126,weather_daily,T757,mintemp,757,94,1f8d291dd50e648e3ee644f9c8b3f2acaa9cfdd02169821ce5382c3cf9fd4b6d,10829,0,0,63,1584,9.8,6.268324606967406,15.133503486241294
127,weather_daily,T772,mintemp,772,64,16a01119e5b27fa89394f24a25179ca8ac72fdf68e20b9581699a83e609e948b,19959,0,0,335,1716,2.5999999999999996,4.010743230903167,8.545471533335114
128,weather_daily,T773,mintemp,773,27,08758279fa8951ef945b7418a7ed23f725fee1e9f4cedaaafb491b8844ce27af,8272,0,0,0,0,6.1,3.799286448249174,4.387912208055411
129,weather_daily,T784,mintemp,784,113,2938ecb89780396b60dad67a6a13596c6c404e179861cac7db4c457b52c3e75f,8638,0,0,33,1247,8.6,5.592239075462876,12.38224998792001
130,weather_daily,T789,mintemp,789,103,23b6db8e73cdde425a76e6f51cb476022546f06b760208f0ccc86d7ba95fb6d8,4985,0,0,25,623,8.5,5.6904224430180825,14.70999725016894
131,weather_daily,T794,mintemp,794,25,07748e7d88cd66e6c55d201ac9368690bee99588c64ac8622b478003cc260d32,18865,0,0,10,44,8.7,5.359352341897549,7.745305233759776
132,weather_daily,T796,mintemp,796,60,15bd68b4be34ec7ab1f3f972f2f26f7ce6396c7f364696b3c60b7c1955e0f58a,9368,0,0,7,17,5.8999999999999995,4.4267381341594625,10.365063524686764
133,weather_daily,T801,mintemp,801,124,2ce9e0c6a480e478b2f230dd374539b857ebb081dedff861f714d7b9d781db6b,18272,0,0,144,581,9.5,6.24394784055575,11.765285714171354
134,weather_daily,T806,mintemp,806,44,0fb550f6f487e7d16f292b72ecf667c69205b1a8460ce3943d029f61111706b8,58676,0,0,0,0,7.4,4.436108788350702,4.2291714529828015
135,weather_daily,T814,mintemp,814,71,19101ae78f2a8c35f1bbef79bcf4787402cdf050957e54db38ebbc2b8e4e5a28,39319,0,0,370,3972,7.700000000000001,5.772523043435961,16.170577254282136
136,weather_daily,T819,mintemp,819,57,1409304fbb72cb87046920e2d858171914aa4e63adc3c2cb5bb1366629aad406,18134,0,0,225,701,8.100000000000001,5.788629287986032,13.00004479946668
137,weather_daily,T827,mintemp,827,77,1a8064a1cac7c07ad53b72523a81ccb827faceddc3b9cf005c5c3f1afa6f310b,9733,0,0,42,422,8.3,5.875717412877666,14.556460681329373
138,weather_daily,T833,mintemp,833,21,063759da72f9e1fb20bafeda271a5fd5e6a2782f336f04654eac07b09b4ffdf6,19957,0,0,132,1135,9.7,6.684687145254487,18.2881124537463
139,weather_daily,T840,mintemp,840,83,1c57b9369e633cc928ed2b68bb7a0ad71e552cac72977c5d01934c7bd9e895f0,4255,0,0,5,40,8.55,5.573332239220429,10.83545331457715
140,weather_daily,T843,mintemp,843,42,0dd2232d442da93ea644ef58456af35b0e2a0c1f6ec2a8d86ebe0a396688fba5,18134,0,0,125,381,8.0,5.585942656173063,11.270771415693392
141,weather_daily,T844,mintemp,844,120,2b1d0da404d544560ca4a4edf0668af2219a73b1e0b4baed16a6def774fdbeb5,18865,0,0,32,386,1.0,4.331060500711311,8.282567048430032
142,weather_daily,T851,mintemp,851,32,09f6462ba30cf1b04bc935077877d80111f0633f52813617b4806edd2769a9b8,1333,0,0,2,7,7.4,5.302579615718325,9.019025609691884
143,weather_daily,T857,mintemp,857,16,0534c10087c4c42a4447648c1ed8e43cacd15a67b06fc41a0b057a091f9ae669,8638,0,0,6,31,6.5,4.7560234382589694,9.814877370684377
144,weather_daily,T859,mintemp,859,35,0b13bb8d0b61b45ca72888fdfb89ff54f2496834f61253d045cd58fd049ffaa5,19228,0,0,15,34,7.199999999999999,4.930807449289404,9.54336363414792
145,weather_daily,T876,mintemp,876,88,1df12436e55197755fd7009e1a3de4dca2e80d948ce3b706874a434c07c7878b,6081,0,0,3,31,7.6,5.02601580415736,8.576965493795138
146,weather_daily,T882,mintemp,882,89,1e09e09101c8b6d20c5db438619fc7d7f7829a6cc95cedc6d7786f2aaeb99f04,9733,0,0,4,19,5.200000000000001,4.190319205804541,8.668586277986602
147,weather_daily,T883,mintemp,883,80,1b5abf7e5fba7e477cbf7d77dc407f5a52859344db523fc33d01d055b4d451be,22882,0,0,238,3226,10.5,6.556417951578683,12.587638836576758
